"mid","standard_question","standard_answer"
"159","若将一个可调温电熨斗的温控旋钮设置在“A”档位时，熨斗以10秒通电加热、40秒断电冷却的周期性模式工作，使其表面温度稳定在\(100^{\circ}C\)；当旋钮设置在“B”档位时，熨斗以20秒通电加热、30秒断电冷却的周期性模式工作。已知熨斗的散热量与其表面温度和周围空气温度之差成正比，且室内空气温度为\(20^{\circ}C\)。求：当旋钮置于“B”档位时，熨斗表面达到的稳定温度。 (结果以$ \mathrm{°C} $为单位，保留3位有效数字)"," 180"
"91","一个初始电容为 \( C_0 = {2\theta } \) 微法的电容器被充电至 \( U_0 = 400 \) 伏的电势差。随后，该电容器与一个未充电的 \( C = 1 \) 微法电容器并联，待电荷平衡后断开连接。重复此过程，依次为多个相同的 \( C = 1 \) 微法电容器（第二、第三等）充电。最后，将所有充好电的 \( C = 1 \) 微法电容器串联。求通过此方法可能实现的最大总电势差。 (结果保留4位有效数字)"," 8000"
"155","一个人站在操场中心，对着三位同伴A、B、C吹响哨子，哨声的频率为1200 Hz。A、B、C分别位于操场的南侧、东侧和北侧。此时，丁以40 m/s的速度骑车从西侧驶来。忽然一阵稳定的南风以10 m/s的速度吹来，声速为320 m/s。求丁听到的哨声频率是多少？ (结果以$ \mathrm{\;{Hz}} $为单位，保留7位有效数字)"," 1350.073"
"284","对于纯水，其固、液、气三相在密闭容器中平衡共存时，温度必须为 \( T_t = 0.01^\circ \text{C} \)，压强必须为 \( p_t = 4.58\,\text{mmHg} \)。初始时，系统中有质量为 1 克的冰、1 克的水和 1 克的水蒸气处于此平衡态。现维持系统总体积不变，缓慢加入热量 \( Q = 0.255\,\text{kJ} \)。已知在此条件下，冰的升华潜热 \( L_{\text{升}} = 2.83\,\text{kJ/g} \)，水的汽化潜热 \( L_{\text{汽}} = 2.49\,\text{kJ/g} \)。估算系统再次达到平衡后冰的质量。 (结果以$ \mathrm{\;g} $为单位，保留2位有效数字)","0.25"
"48","在缝宽 \( a = {0.6}\mathrm{\;{mm}} \) 的单缝后方 \( {40}\mathrm{\;{cm}} \) 处，放置一个与狭缝平行的接收屏。使用平行单色光垂直照射狭缝，在屏幕上观察到衍射条纹。若屏幕上距离中央明条纹中心点 \( {P}_{0} \) 为 \( {1.4}\mathrm{\;{mm}} \) 的位置 \( P \) 处，对应的是第四级亮纹。那么，在 \( P \) 点处形成光强极大值时，狭缝处的波阵面可分成几个半波带？ (结果保留1位有效数字)","9 "
"389","在核反应实验中，一束动能 \( 7.70 \mathrm{MeV} \) 的 α 粒子入射到静止的 \( {}^{14}\mathrm{N} \) 靶核上。在实验室坐标系中，相对于入射方向成 \( 90^\circ \) 的角度上，测量到出射质子的动能为 \( 4.44 \mathrm{MeV} \)。求该反应的反应能。 (结果以$ \mathrm{{MeV}}  $为单位，保留4位有效数字)","- 1.187"
"101","在法布里-珀罗标准具中，两反射镜的间距 \( d = 2\,\text{mm} \)，准单色扩展光源的波长 \( \lambda = 500\,\text{nm} \)，会聚透镜的焦距 \( f = 320\,\text{mm} \)。计算从中心向外数第6个干涉亮环的角位置。 (结果以$ \mathrm{{rad}} $为单位，保留3位有效数字)"," 0.0387"
"190","一个密闭汽缸被活塞分隔为A、B两个气室，每个气室分别连接U形管压强计的一支臂管，压强计两臂的横截面积处处相等，管内装有密度为 \(\rho = 7.5 \times 10^{2}  \mathrm{kg/m^{3}}\) 的液体。初始时，两气室的体积均为 \(V_{0} = 1.2 \times 10^{-2}  \mathrm{m^{3}}\)，气体压强均为 \(p_{0} = 4 \times 10^{3}  \mathrm{Pa}\)，U形管中液面处于同一水平。现缓慢将活塞向气室A方向推动，直至U形管内两侧液柱的高度差为 \(h = 0.4  \mathrm{m}\)。（假设两气室气体温度恒定，忽略U形管及连接管道内气体体积，取 \(g = 10  \mathrm{m/s^{2}}\)。）求此时气室B的体积 \(V_{B}\)。 (结果使用科学计数法，以$ {\mathrm{\;m}}^{3} $为单位，保留2位有效数字)","1.6 \times 10^{-2}"
"165","According to classical electrodynamics, an electron undergoing accelerated motion radiates energy at a rate given by  acceleration w\[ \frac{dE}{dt} = - \frac{2 e^{2}}{3 c^{3}} a^{2}, \]  
where \( e \) is the electron charge, \( c \) is the speed of light, and \( a \) is the magnitude of acceleration. For an electron executing nearly simple harmonic oscillations with angular frequency \( \omega = 5 \times 10^{15} \, \text{s}^{-1} \), calculate the time it takes for the energy to reduce to \( 1/\eta \) of its initial value, given \( \eta = 10 \). (Results should be expressed with units of $ \mathrm{{ns}}  $,and rounded to 2 significant figures)","15"
"5","在劈尖等厚干涉实验中，一束波长为 \( 632.8\,\mathrm{nm} \) 的单色光垂直入射到折射率为 \( 1.50 \) 的玻璃劈尖上。若相邻暗条纹的间距为 \( 6\,\mathrm{mm} \)，求该劈尖的夹角。 (结果以$ \mathrm{{rad}} $为单位，保留2位有效数字)","  0.35"
"319","已知矢量场  \( \overrightharpoon{A} = {\overrightharpoon{a}}_{x}{x}^{2} + {\overrightharpoon{a}}_{y}{\left( xy\right) }^{2} + {\overrightharpoon{a}}_{z}{24}{x}^{2}{y}^{2}{z}^{2} \)，计算该场在立方体表面的面积分。 (结果以$ \mathrm{d} $为单位，保留1位有效数字)","0"
"293","计算将氢原子从基态激发到第三激发态所需的能量。 (结果使用科学计数法，以$ \mathrm{\;J} $为单位，保留1位有效数字)","2 \times 10^{-18}"
"189","两个相同的气缸通过一根带有阀门的管道连接，该阀门仅在压力差 \( \Delta p \geq 1.10 \) atm 时允许气体通过。初始时，一个气缸内为真空，另一个气缸中充满理想气体，其温度为 \( t_1 = 27^\circ \mathrm{C} \)，压力为 \( p_1 = 1.00 \) atm。随后，两个气缸均被加热至温度 \( t_2 = 107^\circ \mathrm{C} \)。问最初为真空的气缸中的压力将升高至何值？ (结果保留2位有效数字)"," 0.10"
"167","考虑地球表面带有均匀的负电荷面密度\(\sigma_e\)，同时大气中存在正的径向体电荷密度\(\rho(r)\)分布，导致大气中形成径向电场\(E(r)\)和电流。已知大气的电导率分布为\(\gamma(r) = \gamma_{0} + a(r - R)^{2}\)，其中\(\gamma_{0} = 3.0 \times 10^{-4} (\Omega \cdot \mathrm{m})^{-1}\)，\(a = 0.50 \times 10^{20} (\Omega \cdot \mathrm{m}^{3})^{-1}\)，\(R = 6.4 \times 10^{6} \mathrm{m}\)为地球半径，\(r\)从地球球心起算。地表处电场强度为\(E(R) = -100 \mathrm{V/m}\)（负号表示指向地心）。设地球作为导体内部无电荷，且大气中径向电流恒定。试求：大气顶层与地球表面之间的电势差。 (结果使用科学计数法，以$ \mathrm{\;V}  $为单位，保留3位有效数字)","3.84 \times 10^{5}"
"15","设想一种低密度气体，分子质量为 \( m \)，平均分子速率为 \( \bar{v} \)。该气体在 y 方向具有平均速度分量 \( u_y \)，该分量随 z 坐标单调增大，即 \( u_y = u_y(z) \)，并满足 \( |u_y| \ll \bar{v} \) 且其各阶导数均较小。分子数密度记为 \( n \)，平均自由程为 \( l \)，分子直径为 \( d \)，容器特征尺度为 \( L \)，且满足条件 \( l \gg d \) 和 \( l \ll L \)。请估算室温下（以空气为例）的黏度系数 \( \eta \)。 (结果使用科学计数法，以$ \mathrm{\;{kg}} $为单位，保留2位有效数字)","1.3 \times 10^{-6}"
"267","某通信基站的平均辐射功率为 \( 10\mathrm{kW} \)，辐射能量均匀分布于以基站为中心的半球形表面上。若在某一距离处电磁波可视为平面波，求该处的磁场强度振幅。 (结果使用科学计数法，以$ \mathrm{\;A} \cdot  {\mathrm{m}}^{-1} $为单位，保留3位有效数字)","2.91 \times 10^{-4}"
"301","一个真空室的内部尺寸为 \( 10^{-2} \, \text{m} \)，其压强为 \( 1.33 \times 10^{-3} \, \text{Pa} \)。空气分子的有效直径为 \( 3.0 \times 10^{-10} \, \text{m} \)。求在 \( 300 \, \text{K} \) 时空气分子的平均碰撞频率。 (结果使用科学计数法，以$ {\mathrm{\;s}}^{-1} $为单位，保留2位有效数字)","4.7 \times 10^{4}"
"361","已知法布里-珀罗标准具的镜面反射率 \( R = 0.9 \)，腔长 \( h = 2  \mathrm{cm} \)，入射光波长 \( \lambda = 5000  \mathrm{\AA} \)。计算该标准具的分辨本领。 (结果使用科学计数法，保留3位有效数字)","1.18 \times 10^{6}"
"377","在一个绝热良好的箱体中，某种理想气体的压强测得为 \( 0.010\,\mathrm{mmHg} \)，环境温度维持在 \( 27^{\circ}\mathrm{C} \)。试计算该气体在 \( 1\,\mathrm{cm}^{3} \) 的指定容积内，所含分子的总数目。 (结果使用科学计数法，以$ {\mathrm{\;{cm}}}^{-3} $为单位，保留3位有效数字)","3.21 \times 10^{-14}"
"177","三个相同的小球由三根劲度系数均为 \( k \) 的轻弹簧连接，置于光滑水平面上，初始时弹簧未伸长且形成边长为 \( l_0 = 9\,\text{cm} \) 的等边三角形。每个小球被赋予相同电荷 \( q = 1.8\,\mu\text{C} \) 后，系统达到新平衡，此时三角形面积变为初始面积的四倍。设弹簧为绝缘体。固定此电荷系统，在沿三角形中心垂线方向、距离平面 \( h = 15\,\text{cm} \) 处放置一个单位正电荷 \( q_0 = 1\,\text{C} \)。求此单位正电荷所受的力的大小。 (结果使用科学计数法，以$ \mathrm{\;N} $为单位，保留2位有效数字)","1.4 \times 10^{6}"
"60","在简化的人眼模型中，假设眼睛是一个单一的折射球面，其曲率半径为 \( 5.55  \mathrm{mm} \)，内部介质的平均折射率为 \( \frac{4}{3} \)。如果月球对眼睛节点所张的视角为 \( 1^\circ \)，那么视网膜上月球像的大小是多少？ (结果以$ {\prime $为单位，保留2位有效数字)"," 0.26"
"388","一沿 \( x \) 轴负方向传播的平面简谐波，振幅为 \( 2.0 \times 10^{-2}  \mathrm{m} \)，频率为 \( 5.0  \mathrm{Hz} \)，波长为 \( 7.0 \times 10^{-2}  \mathrm{m} \)。设在 \( t = 0 \) 时，原点处质点在 \( \sqrt{2} \times 10^{-2}  \mathrm{m} \) 处且向平衡位置运动。若传播波的介质密度为 \( 1.29  \mathrm{kg/m^3} \)，求该波的波强。 (结果以$ \mathrm{\;W}/{\mathrm{m}}^{2}  $为单位，保留3位有效数字)"," 1.27"
"18","For the HCl molecule, in the fundamental band of its vibration-rotation emission spectrum, the band center is forbidden due to selection rules, and the angular frequency spacing between adjacent rotational lines is \(\Delta \omega = 0.79 \times 10^{13} \, \mathrm{s}^{-1}\). Determine the equilibrium bond length of the HCl molecule. (Results should be expressed with units of $ \mathrm{\;{nm}}  $,and rounded to 2 significant figures)","0.13"
"194","2 摩尔单原子理想气体从某初态经历一热容量 \( C = 2R + 0.02 R T \) 的准静态过程，到达温度为初态温度 2 倍、体积为初态体积 \( \sqrt{2} \) 倍的终态。(已知 \( \ln 2 = 0.693 \),式中 \( T \) 为温度, \( R \) 为普适气体常数)。试求内能增量 \( \Delta E \). (结果以$ \mathrm{\;J} $为单位，保留4位有效数字)"," 1728"
"97","A vessel travels eastward along a straight east-west path with velocity \( v_{\mathrm{o}} = 30 \) km/hour. The wind blows at an angle \( \varphi = 60^\circ \) south of the east-west line with velocity \( v = 15 \) km/hour. Determine the wind velocity \( v^{\prime} \) relative to the vessel. (Results should be expressed with units of $ {\prime $,and rounded to 2 significant figures)","  40"
"127","有一水银气压计，其玻璃管的内直径为 \( d = 0.40 \, \text{cm} \)。设水银的表面张力系数 \( \sigma = 0.49 \, \text{N/m} \)。当管内外水银面高度差为 \( h = 75.8 \, \text{cm} \) 时，实际大气压 \( P_0 \) 是多少？ (结果以$ \mathrm{{cmHg}}  $为单位，保留4位有效数字)"," 76.36"
"149","设一个刚性密闭容器中，冰、液态水和水蒸气各1克在水的三相点温度0.01°C和压强4.58 mmHg下平衡共存。在保持容器总体积不变的条件下，对系统缓慢加热，输入热量 \( Q = 2.25\times10^{5}\mathrm{\;J} \)。已知水的密度为\(1\times10^{3}\mathrm{\;{kg}}/{\mathrm{m}}^{3}\)，冰的密度为\(0.9\times10^{3}\mathrm{\;{kg}}/{\mathrm{m}}^{3}\)，冰在三相点时的升华热\(L_{\text{升}} = 2.83\times10^{6}\mathrm{\;J}/\mathrm{{kg}}\)，水在三相点的汽化热\(L_{\text{汽}} = 2.49\times10^{6}\mathrm{\;J}/\mathrm{{kg}}\)。试估算系统再达平衡后水蒸气的质量。 (结果以$ \mathrm{\;g}  $为单位，保留1位有效数字)"," 1"
"187","With light incident normally on a transparent diffraction grating 10 mm wide, it is observed that the components of the sodium D line (589.0 and 589.6 nm) are resolved starting from the fifth order of the spectrum. Determine what must be the width of the grating with the same period for resolving a doublet at 460.0 nm with a component separation of 0.13 nm in the third order of the spectrum. (Results should be expressed with units of $ \mathrm{\;{cm}}  $,and rounded to 1 significant figures)"," 6"
"198","一名身高 \( H = 1.9\,\text{m} \) 的跳高运动员，在地球上创下的记录高度为 \( 2.39\,\text{m} \)。假设在月球表面以相同状态试跳，估算该运动员能达到的高度。（已知月球与地球的质量关系为 \( M_{\text{月}} = M_{\text{地}} / 81 \)，半径关系为 \( R_{\text{月}} = R_{\text{地}} / 3.8 \)。) (结果以$ \mathrm{\;m}  $为单位，保留3位有效数字)"," 9.70"
"387","An electron is subjected to a monochromatic electromagnetic wave in vacuum, with intensity \( I = 150  \mathrm{W/m^2} \) and angular frequency \( \omega = 3.4 \times 10^{15}  \mathrm{s^{-1}} \). The effect of the magnetic field on the electron's motion can be neglected due to its insignificance. Find the amplitude of the electron's velocity oscillation. (Results should be expressed with units of $ \mathrm{\;{cm}}/\mathrm{s}  $,and rounded to 2 significant figures)"," 1.7"
"188","A particle is confined to a two-dimensional square infinite potential well with sides of length a (0 < x < a, 0 < y < b). Find the probability that the particle in the ground state is located in the region where 0 < x < a/3. (Results should be expressed and rounded to 3 significant figures)","19.5"
"6","已知导线中电流随时间的变化规律为 \( I(t) = t^2 - \frac{t}{2} + 6 \)，其中电流单位是安培（A），时间单位是秒（s）。计算在时间区间 \( t = 1 \, \text{s} \) 到 \( t = 3 \, \text{s} \) 内通过导线横截面的电荷量。 (结果保留3位有效数字)","1.87"
"352","想象一下，存在一个密闭容器，里面只有冰、水和水蒸气这三种物质。要是它们达到了三态平衡共存的状态，其系统的温度必然是\(t_{i} = 0.01^{\circ}C\)，压强必然是\(p_{i} = 6.106×10^{2}\)帕。目前，容器里有质量都为\(1×10^{-3}\)千克的冰、水和水蒸气正处于这样的平衡状态。接下来有这么一个操作，在保持系统总体积不变的情况下，对这个系统缓缓加热，加热过程中一共输入了\(Q = 0.255\)千焦的热量。另外，我们还清楚在此条件下，冰的升华热为\(L_{升} = 2.83×10^{3}\)千焦/千克，水的汽化热为\(L_{汽} = 2.49×10^{3}\)千焦/千克。现在关键就是要去估算一下，当系统再次达到平衡的时候，冰的质量会变成多少？ (结果使用科学计数法，保留2位有效数字)","7.5 \times 10^{-4}"
"251","若电子和质量为 \( 10.0\,\mathrm{g} \) 的宏观物体都以 \( 300\,\mathrm{m \cdot s^{-1}} \) 的速率运动，并且速率的相对测量误差都为 \( 0.01\% \)。试比较质量为 \( 10.0\,\mathrm{g} \) 的宏观物体的位置最小不确定量。 (结果使用科学计数法，以$ \mathrm{\;m} $为单位，保留3位有效数字)","2.21 \times 10^{-30}"
"246","Calculate the Rydberg constant \( R \) given that the wavelength difference between the first (the longest - wavelength) spectral lines of the Balmer series and the Lyman series of \( {He^+} \) ions is \( {\Delta\lambda = 133.7\ nm} \). (Results should be expressed in scientific notation, with units of $ {\mathrm{\;s}}^{-1}  $,and rounded to 3 significant figures)","2.07 \times 10^{16}"
"199","如果在康普顿散射中发生散射，且散射光子的波长为入射光子的 1.2 倍，其中\( \mathrm{X} \) 射线光子的能量为 \( {0.60}\mathrm{{MeV}} \) ，试求这时反冲电子的动能。 (结果以$ \mathrm{\;J} $为单位，保留2位有效数字)"," 31"
"330","根据麦克斯韦速率分布律，求解氧气分子在 \( T = 300 \, \mathrm{K} \) 条件下的最概然速率 \( v_p \)。 (结果以$ \mathrm{\;m} \cdot  {\mathrm{s}}^{-1} $为单位，保留3位有效数字)"," 559"
"237","一个电动机的转子在 5 秒内转速由 900 转/分均匀地减小到 800 转/分。求角加速度。 (结果保留3位有效数字)","2.09"
"363","0.1 mol 的氩气和 0.2 mol 的氧气混合，初始温度为 300 K，体积为 4 L。已知氩气和氧气的比热比分别为 \(\gamma_1 = 5/3\) 和 \(\gamma_2 = 7/5\)。当体积缩小 1% 时，求压力的变化。 (结果使用科学计数法，保留2位有效数字)","1.9 \times 10^{5}"
"63","在日地距离 \( R = 1.5 \times 10^{11} \, \text{m} \) 处有一个球形天体。太阳被近似为温度 \( T_c = 6000 \, \text{K} \)、半径 \( R_c = 7 \times 10^{8} \, \text{m} \) 的黑体辐射源。若该天体选择性吸收波长 \( \lambda = 5000 \, \mathring{A} \) 附近的光，请确定其平衡温度。 (结果以$ \mathrm{\;K} $为单位，保留3位有效数字)"," 146"
"45","确定的值为氚核的平均核子结合能为 \( {1.1}\mathrm{{MeV}} \) ，而氢核的平均结合能为 \( {7.1}\mathrm{{MeV}} \) 。那么在氚核跟氢核的结合过程中亏损的质量是多少？ (结果使用科学计数法，以$ \mathrm{\;{kg}} $为单位，保留2位有效数字)","4.3 \times 10^{-29}"
"30","一位运动员从 \( {105}\mathrm{{ft}} \) 高的跳台上，以 \( {64}\mathrm{{ft}} \cdot  {\mathrm{s}}^{-1} \) 的速度竖直上抛一个铁饼。求：铁饼上升的最大高度。 (结果以$ \mathrm{{ft}} $为单位，保留2位有效数字)"," 64"
"115","考虑一平面简谐声波，频率为 \( 500\,\mathrm{Hz} \)，在空气中的传播速度为 \( u = 340\,\mathrm{m \cdot s^{-1}} \)。当声波到达人耳时，其振幅 \( A = 10^{-4}\,\mathrm{cm} \)。已知空气密度 \( \rho = 1.29\,\mathrm{kg \cdot m^{-3}} \)，求人耳接收到声波的声强。 (结果以$ \mathrm{\;{dB}} $为单位，保留2位有效数字)","93"
"58","一个额定工作电压为 \( U_{0} = 4.5\mathrm{\;V} \) 的照明用电器，其电阻为 \( R_{0} = 2\Omega \)，由内阻可忽略、电动势为 \( U = 6\mathrm{\;V} \) 的直流电源供电。通过串联一个滑线变阻器来调节电路，要求系统效率至少达到 \( \eta = 0.6 \)，试确定该滑线变阻器的总电阻值。 (结果保留3位有效数字)"," 8.57"
"20","一个电子以\(500\mathrm{m/s}\)的速率沿\(x\)轴运动，其速度测量的相对不确定度为\(0.01\%\)。求确定该电子\(x\)坐标的最小可能不确定度。 (结果以$ \mathrm{\;{cm}} $为单位，保留2位有效数字)"," 1.5"
"55","已知某显微镜的物镜焦距为 \( f_{\text{obj}} = 2\,\text{mm} \)，目镜焦距为 \( f_{\text{eye}} = 20\,\text{mm} \)，物镜与目镜的光学间距为 \( L = 175\,\text{mm} \)，最终像面位于明视距离 \( v = 250\,\text{mm} \)。定义物体到物镜物方焦点的距离为 \( x \)，求该显微镜的焦深，即 \( x \) 的允许变化区间。 (结果使用科学计数法，以$ \mathrm{\;{mm}}  $为单位，保留2位有效数字)","2.5 \times 10^{-4}"
"141","下雨时，雨点竖直下落到地面，其速度为 \( 10\mathrm{\;m/s} \) 。若在地面上放一横截面积为 \( 80\mathrm{\;cm}^{2} \) 、高为 \( 10\mathrm{\;cm} \) 的圆柱形量筒，则经 \( 30\mathrm{\;min} \) ，筒内接得雨水水面的高度为 \( 1\mathrm{\;cm} \) 。 现若将量筒倾斜 30°，但雨点仍竖直下落。问：若用同样的量筒接得与正立时相同的雨水量，所需时间为多少？ (结果保留2位有效数字)","30"
"294","在建筑底层，一条水管的内半径为 \( {10}\mathrm{\;{cm}} \) ，管内水压为 \( {28.2}\mathrm{\;N}/{\mathrm{{cm}}}^{2} \) 。上层出水口位于底层上方 \( {12.2}\mathrm{\;m} \) 处，其开口半径为 \( {2.5}\mathrm{\;{cm}} \) 。当出水口开启时，若底层水管水压维持恒定，且大气压强为 \( {76}\mathrm{\;{cm}} \) 汞柱，求水从出水口流出的速率。 (结果以$ \mathrm{\;m}/\mathrm{s}  $为单位，保留3位有效数字)"," 10.5"
"273","一种多原子气体在温度为 0°C 和压力为 1 atm 的条件下的密度恒等于 \( 0.795  \text{g/L} \)，求该气体在定容时的比热容。 (结果以$ \mathrm{{cal}}/\mathrm{g} \cdot  \mathrm{K} $为单位，保留3位有效数字)"," 0.334"
"105","一艘宇宙飞船以0.6c的速度从地球出发，飞向距离地球3光年（地球参考系测距）的一个遥远星球，完成任务后立即返回地球。起飞瞬间，地球时钟和飞船时钟均调至零。飞船乘员依据飞船时钟每满1年向地球发射一个光信号。求：在去程和回程的全过程中，飞船乘员共发出多少个光信号？ (结果保留1位有效数字)","7"
"131","One mole of oxygen undergoes an isothermal expansion from an initial volume \( V_{\text{i}} = 1.001 \) to a final volume \( V_{\text{f}} = 5.01 \) while held at a constant temperature \( T = 280\,\mathrm{K} \). Determine the change in internal energy of the gas. (Results should be expressed with units of $ \mathrm{\;{kJ}} $,and rounded to 2 significant figures)"," 0.11"
"136","To construct a solenoid with an inductance of \( L = 1.0 \, \mathrm{mH} \) and a length of \( l_{0} = 100 \, \mathrm{cm} \), where the cross-sectional diameter is negligible compared to its length, what total length in metres of thin wire must be used? (Results should be expressed with units of $ \mathrm{\;{km}} $,and rounded to 2 significant figures)"," 0.10"
"308","求波长为 \( 0.20 \, \mathrm{nm} \) 的电子的德布罗意能量。 (结果使用科学计数法，以$ \mathrm{J} $为单位，保留2位有效数字)","9.9 \times 10^{-16}"
"348","某种玻璃对于波长 \( 0.70 \dot{A} \) 的 X 射线，其折射率为 \( 1 - 1.60 \times 10^{-8} \)。试求 X 射线在玻璃外表面发生全反射的最大掠射角。 (结果以$ \prime $为单位，保留4位有效数字)"," 6.150"
"229","A block of ice weighing 100 g at 0°C is combined with 100 g of water at 94°C in a calorimeter with negligible heat capacity. Calculate the entropy change of the system upon reaching thermal equilibrium. (Results should be expressed with units of $ \mathrm{\;J}/\mathrm{K} $,and rounded to 2 significant figures)","18"
"323","一块铝质物体先在低湿度空气中称量，再在高湿度空气中称量，已知高湿度空气中水蒸气的分压为15.2毫米汞柱，称量时使用铜制砝码。大气压强保持760毫米汞柱，两次测量均在 \( {20}^{ \circ  }\mathrm{C} \) 下进行。所用天平的灵敏度为0.1毫克，即对小于此值的质量差无反应。铝的密度为2.7克 \( / \) 厘米 \( {}^{3} \)，铜的密度为8.5克 \( / \) 厘米 \( {}^{3} \)，\( {20}^{ \circ  }\mathrm{C} \) 时干燥空气密度为0.0012克 / 厘米 \( {}^{3} \)，水蒸气密度为0.00075克 / 厘米 \( {}^{3} \)。试求铝质物体的最小质量，使得在上述两种空气环境中称量时，质量差能被天平检测到。 (结果保留2位有效数字)","40 "
"84","A Galilean telescope with a magnifying power of 10 has an overall length of \( {45}\mathrm{\;{cm}} \) when collimated for infinity. Calculate the focal length of its eyepiece. (Results should be expressed with units of $ \mathrm{\;{cm}}  $,and rounded to 1 significant figures)"," 5"
"144","一组平行放置的玻璃平板，每块折射率为 \( n = 1.54 \)，处于空气环境中。非偏振光以布儒斯特角入射。试求在穿过第二层玻璃板后的偏振度。 (结果保留3位有效数字)"," 34.7"
"114","已知10号铜线的直径为2.54mm，单位长度电阻为\(3.28×10^{3}Ω/m\)，当导线中流过10A电流时，计算该铜线处的电能密度大小。 (结果使用科学计数法，以$ {\mathrm{\;J}/{\mathrm{m}}^{3} $为单位，保留3位有效数字)","1.86 \times 10^{-1}"
"59","Due to the effect of aberration of light, when the Earth observes stars, the apparent positions of the stars within the ecliptic plane undergo periodic shifts because of the Earth's orbital motion. The amplitude of this apparent oscillation angle is \( \delta \theta = 41'' \). Calculate the orbital velocity of the Earth. (Results should be expressed with units of $ \mathrm{\;{km}}/\mathrm{s} $,and rounded to 2 significant figures)"," 30"
"142","考虑一个质量为 \( M \)、半径为 \( R \) 的质量均匀分布的致密星体。当质量为 \( m \) 的质点距其中心距离为 \( r \)（\( r \geq R \)）时，引力势能为 \( E_p = -\frac{GMm}{r} \)，其中 \( G = 6.67 \times 10^{-11}  \text{N} \cdot \text{m}^2 \cdot \text{kg}^{-2} \) 为万有引力常量。设此致密星体的半径 \( R = 10  \text{km} \)，质量 \( M = 1.5 M_{\odot} \)（\( 1 M_{\odot} = 2.0 \times 10^{30}  \text{kg} \) 为太阳质量）。在某种核反应中，若参加反应的原料质量为 \( m \)，则质量亏损为 \( 0.0072 m \)。问：1 kg 的原料通过此核反应提供的能量与1 kg 的物质从无限远处被吸引到该星体表面时所释放的引力势能之比是多少？ (结果保留2位有效数字)","  31"
"344","一个 \( RC \) 并联电路由电阻 \( R = 100\,\Omega \) 和电容 \( C = 12\,\mathrm{nF} \) 组成，连接到交流电源，该电源的峰值电压为 \( 50\,\mathrm{V} \)，角频率为 \( 1000\,\mathrm{rad/s} \)。计算总电流的峰值。 (结果以$ \mathrm{\;A} $为单位，保留2位有效数字)","0.78"
"212","有一根长为 \( 2\mathrm{\;m} \) 、截面积为 \( {10}^{-4}{\mathrm{\;m}}^{2} \) 的管里贮有标准状态下的二氧化碳气体，其中一半的二氧化碳气体分子含放射性同位素 \( {}^{14}\mathrm{C} \)。在 \( t = 0 \) 时，放射性气体分子数密度从管左端沿着管均匀减少，到右边管口减少到零。已知二氧化碳分子的有效直径 \( d = {3.67} \times  {10}^{-{10}}\mathrm{\;m} \)。试求出开始时放射性气体的密度梯度是多少？ (结果以$ \mathrm{\;{kg}}/{\mathrm{m}}^{4} $为单位，保留3位有效数字)","- 1.03"
"181","一个密闭钢瓶内充满氧气，其压强为 \( p = 1.013 \times 10^{5} \, \mathrm{Pa} \)，温度为 \( 27^{\circ} \mathrm{C} \)。求：氧气在该条件下的密度。 (结果以$ \mathrm{\;{kg}}/{\mathrm{m}}^{3}  $为单位，保留3位有效数字)"," 1.28"
"140","一个衍射光栅每毫米具有500条刻痕，当使用波长为 \( \lambda = 589.3\mathrm{~nm} \) 的钠光垂直入射时，求最大可观测的衍射级次。 (结果保留2位有效数字)","  3.3"
"204","ρ介子的静能为765 MeV，寿命为\(2.2 × 10^{-21} s\)。它的能量不确定度是多少？ (结果以$ \mathrm{{MeV}} $为单位，保留3位有效数字)"," 150"
"73","一扇面积为 \( 1 \, \mathrm{m}^2 \) 的窗户面向道路，外部噪声的声强级为 \( 60 \, \mathrm{dB} \)。求通过窗户传入室内的声波功率是多少？ (结果以$ \mathrm{\;W} $为单位，保留2位有效数字)"," 10"
"333","A collimated X-ray beam is incident on the natural cleavage plane of a NaCl single crystal with a density of \( \rho = 2.16  \mathrm{g/cm^{3}} \) at a grazing incidence angle of \( \alpha = 60.0^\circ \). The specular reflection exhibits a second-order diffraction maximum. Determine the wavelength of the radiation. (Results should be expressed with units of $ \mathrm{\;{pm}}  $,and rounded to 3 significant figures)"," 244"
"88","在北纬30°的一个气象站点，观测到离地表1000米高度处的风大致处于地转平衡状态，请计算该站点摩擦层内的湍流粘度系数。 (结果保留2位有效数字)"," 3.6"
"116","在一对平行方形极板组成的电容器（电容 \( C = 1 \times 10^{-12}  \mathrm{F} \)）上，加上频率为 \( 50  \mathrm{Hz} \)，峰值为 \( 1.74 \times 10^5  \mathrm{V} \) 的正弦交流电压，计算极板间的位移电流的最大值。 (结果使用科学计数法，以$ \mathrm{\;A}  $为单位，保留4位有效数字)","205.5 \times 10^{-5}"
"374","在实验室中，一个用于测量密度的专用小烧瓶（pycnometer）在空瓶状态下的质量为20.00 g。当该烧瓶完全装满水时，总质量为22.00 g；装满苯时，总质量为21.76 g。为确保密度测量的精确性，必须考虑空瓶内部空气的质量，请计算空瓶中空气的质量。 (结果使用科学计数法，以$ \mathrm{\;{kg}}  $为单位，保留3位有效数字)","2.58 \times 10^{-6}"
